"id","time","state"
1,0,"A"
1,1,"B"
1,2,"B"
1,3,"B"
1,4,"A"
1,5,"B"
1,6,"A"
1,7,"B"
1,8,"A"
1,9,"A"
1,10,"B"
1,11,"A"
1,12,"B"
1,13,"A"
1,14,"B"
1,15,"B"
1,16,"A"
1,17,"B"
1,18,"A"
1,19,"B"
2,7,"B"
2,8,"A"
2,9,"A"
2,10,"B"
2,11,"A"
2,12,"B"
2,13,"B"
2,14,"X"
3,0,"A"
3,1,"B"
3,2,"B"
3,3,"B"
3,4,"A"
3,5,"B"
3,6,"A"
3,7,"B"
3,8,"A"
3,9,"B"
3,10,"A"
3,11,"B"
3,12,"X"
4,0,"B"
4,1,"A"
4,2,"B"
4,3,"B"
4,4,"A"
4,5,"B"
4,6,"B"
4,7,"B"
4,8,"A"
4,9,"B"
4,10,"A"
4,11,"B"
4,12,"A"
4,13,"B"
4,14,"A"
4,15,"B"
4,16,"A"
4,17,"B"
4,18,"X"
5,0,"A"
5,1,"B"
5,2,"A"
5,3,"B"
5,4,"A"
5,5,"B"
5,6,"A"
5,7,"B"
5,8,"A"
5,9,"B"
5,10,"A"
5,11,"B"
5,12,"A"
5,13,"B"
5,14,"A"
5,15,"B"
5,16,"B"
5,17,"B"
5,18,"B"
5,19,"A"
6,1,"B"
6,2,"A"
6,3,"B"
6,4,"B"
6,5,"A"
6,6,"B"
6,7,"B"
6,8,"B"
6,9,"A"
6,10,"B"
7,1,"B"
7,2,"A"
7,3,"B"
7,4,"B"
7,5,"B"
7,6,"B"
7,7,"A"
7,8,"B"
7,9,"A"
7,10,"B"
7,11,"A"
7,12,"B"
7,13,"B"
7,14,"A"
7,15,"B"
7,16,"X"
8,0,"A"
8,1,"B"
8,2,"B"
8,3,"A"
8,4,"B"
8,5,"B"
8,6,"A"
8,7,"B"
8,8,"A"
8,9,"B"
8,10,"B"
8,11,"A"
8,12,"A"
8,13,"A"
8,14,"B"
8,15,"B"
8,16,"B"
8,17,"X"
9,0,"B"
9,1,"A"
9,2,"A"
9,3,"A"
9,4,"B"
9,5,"B"
9,6,"B"
9,7,"B"
9,8,"A"
9,9,"B"
9,10,"B"
9,11,"A"
9,12,"X"
10,0,"B"
10,1,"B"
10,2,"B"
10,3,"A"
10,4,"B"
10,5,"A"
10,6,"B"
10,7,"B"
10,8,"B"
10,9,"A"
10,10,"B"
10,11,"B"
10,12,"A"
10,13,"B"
10,14,"B"
10,15,"A"
10,16,"X"
11,0,"A"
11,1,"B"
11,2,"A"
11,3,"B"
11,4,"A"
11,5,"B"
11,6,"B"
11,7,"B"
11,8,"B"
11,9,"B"
11,10,"A"
11,11,"B"
11,12,"X"
12,4,"B"
12,5,"A"
12,6,"B"
12,7,"A"
12,8,"A"
12,9,"B"
12,10,"A"
12,11,"B"
12,12,"B"
12,13,"B"
12,14,"A"
12,15,"B"
12,16,"B"
12,17,"B"
12,18,"X"
13,8,"B"
13,9,"A"
13,10,"B"
13,11,"A"
13,12,"B"
13,13,"B"
13,14,"B"
13,15,"B"
13,16,"A"
13,17,"B"
13,18,"A"
13,19,"B"
14,0,"B"
14,1,"B"
14,2,"A"
14,3,"B"
14,4,"B"
14,5,"B"
14,6,"B"
14,7,"B"
14,8,"A"
15,0,"B"
15,1,"A"
15,2,"B"
15,3,"B"
15,4,"A"
15,5,"B"
15,6,"A"
15,7,"B"
15,8,"B"
15,9,"B"
15,10,"B"
15,12,"A"
15,13,"B"
15,14,"B"
15,15,"A"
15,16,"B"
15,17,"X"
16,0,"B"
16,1,"A"
16,2,"B"
16,3,"A"
16,4,"B"
16,5,"B"
16,6,"A"
16,7,"A"
16,8,"B"
16,9,"B"
16,10,"B"
16,11,"B"
16,12,"B"
16,13,"X"
17,0,"A"
17,1,"B"
17,2,"B"
17,3,"A"
17,4,"A"
17,5,"B"
17,6,"B"
17,7,"A"
17,8,"B"
17,9,"X"
18,5,"B"
18,6,"A"
18,7,"B"
18,8,"B"
18,9,"B"
18,10,"B"
18,11,"B"
19,0,"B"
19,1,"B"
19,2,"B"
19,3,"A"
19,4,"B"
19,5,"A"
19,6,"B"
19,7,"B"
19,9,"A"
19,11,"B"
19,12,"A"
19,13,"B"
19,14,"B"
20,12,"B"
20,13,"A"
20,14,"B"
20,15,"A"
20,16,"B"
20,17,"B"
20,18,"A"
20,19,"B"
21,0,"B"
21,1,"B"
21,2,"X"
22,0,"A"
22,1,"A"
22,2,"B"
22,3,"B"
22,4,"A"
22,5,"A"
22,6,"B"
22,7,"A"
22,8,"A"
22,9,"B"
22,10,"A"
22,11,"B"
22,12,"B"
22,13,"A"
22,14,"B"
22,15,"A"
22,16,"B"
22,17,"B"
22,18,"B"
22,19,"B"
23,0,"A"
23,1,"B"
23,2,"A"
23,3,"B"
23,5,"B"
23,6,"A"
23,8,"B"
23,9,"A"
23,10,"B"
23,11,"B"
23,12,"X"
24,0,"B"
24,1,"B"
24,2,"A"
24,3,"B"
24,4,"A"
24,5,"B"
24,6,"B"
24,7,"A"
24,8,"B"
24,9,"B"
24,10,"B"
24,11,"A"
24,12,"B"
24,13,"X"
25,0,"B"
25,1,"B"
25,2,"A"
25,3,"B"
25,4,"A"
25,5,"B"
25,7,"B"
25,8,"B"
25,9,"A"
25,10,"B"
25,11,"B"
25,12,"A"
25,13,"B"
25,14,"B"
25,15,"B"
25,16,"B"
25,17,"A"
25,18,"B"
25,19,"B"
26,0,"A"
26,1,"B"
26,2,"B"
26,3,"A"
26,4,"B"
26,5,"B"
26,6,"A"
26,7,"B"
26,8,"B"
26,9,"A"
26,10,"B"
26,11,"A"
26,12,"B"
26,13,"B"
26,14,"A"
26,15,"B"
26,16,"A"
26,17,"B"
27,0,"B"
27,1,"B"
27,2,"A"
27,3,"B"
27,4,"B"
27,5,"A"
27,6,"B"
27,7,"A"
27,8,"B"
27,9,"A"
27,10,"B"
27,11,"A"
27,12,"B"
27,13,"A"
27,14,"A"
27,15,"B"
